301, 2.18169
302, 2.21755
303, 2.25687
304, 2.29773
305, 2.33903
306, 2.38305
307, 2.42571
308, 2.47085
309, 2.5152
310, 2.56108
311, 2.60472
312, 2.64987
313, 2.69616
314, 2.74392
315, 2.79176
316, 2.82602
317, 2.87226
318, 2.92003
319, 2.97046
320, 3.02379
321, 3.07975
322, 3.13859
323, 3.20028
324, 3.26488
325, 3.33286
326, 3.40389
327, 3.44658
328, 3.52375
329, 3.60608
330, 3.67266
331, 3.75862
332, 3.85096
333, 3.93947
334, 4.04176
335, 4.14228
336, 4.25496
337, 4.37793
338, 4.49574
339, 4.62911
340, 4.76712
341, 4.91756
342, 5.07995
343, 5.2488
344, 5.42757
345, 5.61637
346, 5.81178
347, 6.0178
348, 6.225
349, 6.44543
350, 6.68807
351, 6.9676
352, 7.28388
353, 7.6382
354, 8.01083
355, 8.43491
356, 8.89096
357, 9.3782
358, 9.89937
359, 10.4538
360, 11.034
361, 11.6661
362, 12.3148
363, 13.0144
364, 13.7495
365, 14.4732
366, 15.2745
367, 16.0776
368, 16.9118
369, 17.8132
370, 18.7437
371, 19.6827
372, 20.6831
373, 21.7155
374, 22.7482
375, 23.8224
376, 24.9498
377, 26.107
378, 27.2638
379, 28.476
380, 29.7207
381, 30.9899
382, 32.223
383, 33.4379
384, 34.7423
385, 35.8998
